Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\my_libraries\esp32-s3-mini\Project Outputs for esp32-s3-mini\Pick Place\Pick Place for ESP32 with USBC(Prototype).csv

========================================================================================================================
File Design Information:

Date:       24-08-26
Time:       16:50
Revision:   Not in VersionControl
Variant:    Prototype
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"U3","TL1963A-33DCYR","TopLayer","DCY0004A_N","780.000","290.000","0","IC REG LIN 3.3V 1.5A SOT-223-4"
"U2","FT231XQ-R","TopLayer","FP-QFN-20-IPC_B","710.000","770.000","270","IC USB SERIAL FULL UART 20QFN"
"U1","ESP32-S3-MINI-1-N8","TopLayer","XCVR_ESP32-S3-MINI-1-N8","2494.409","496.929","270","20.5dBm ESP32-S3FN8 Chip 2.4GHz SMD WiFi Modules ROHS"
"SW2","PTS645SH50SMTR92LFS","TopLayer","FP-PTS645SH50SMTR92LFS-MFG","1400.000","750.000","180","SWITCH TACTILE SPST-NO 0.05A 12V"
"SW1","PTS645SH50SMTR92LFS","TopLayer","FP-PTS645SH50SMTR92LFS-MFG","1400.000","250.000","180","SWITCH TACTILE SPST-NO 0.05A 12V"
"R24","0R","TopLayer","RESC1005X37N","2006.000","447.000","0","RES 0 OHM JUMPER 1/16W 0402"
"R23","0R","TopLayer","RESC1005X37N","2005.000","514.000","0","RES 0 OHM JUMPER 1/16W 0402"
"R22","0R","TopLayer","RESC1005X37N","2227.000","141.000","180","RES 0 OHM JUMPER 1/16W 0402"
"R21","0R","TopLayer","RESC1005X37N","2133.002","141.000","180","RES 0 OHM JUMPER 1/16W 0402"
"R20","27R","TopLayer","RESC1005X37N","2042.181","797.056","0","RES 27 OHM 1% 1/16W 0402"
"R19","27R","TopLayer","RESC1005X37N","2042.000","848.000","0","RES 27 OHM 1% 1/16W 0402"
"R18","10k","TopLayer","RESC1005X37N","1011.000","826.000","270","RES SMD 10K OHM 1% 1/16W 0402"
"R17","10k","TopLayer","RESC1005X37N","1649.000","292.000","90","RES SMD 10K OHM 1% 1/16W 0402"
"R16","10k","TopLayer","RESC1005X37N","1011.000","639.000","90","RES SMD 10K OHM 1% 1/16W 0402"
"R15","1k","TopLayer","RESC1005X37N","1807.076","802.367","270","RES 1K OHM 1% 1/16W 0402"
"R14","5k1","TopLayer","RESC1005X37N","421.000","262.000","90","RES SMD 5.1K OHM 1% 1/16W 0402"
"R13","5k1","TopLayer","RESC1005X37N","421.000","146.000","270","RES SMD 5.1K OHM 1% 1/16W 0402"
"R12","1k","TopLayer","RESC1005X37N","1807.000","198.000","90","RES 1K OHM 1% 1/16W 0402"
"R11","10k","TopLayer","RESC1005X37N","889.291","605.880","180","RES SMD 10K OHM 1% 1/16W 0402"
"R10","5k1","TopLayer","RESC1005X37N","421.000","852.000","90","RES SMD 5.1K OHM 1% 1/16W 0402"
"R9","5k1","TopLayer","RESC1005X37N","421.000","707.000","270","RES SMD 5.1K OHM 1% 1/16W 0402"
"R8","4k7","TopLayer","RESC1005X37N","889.291","657.255","0","RES 4.7K OHM 1% 1/16W 0402"
"R6","0R","TopLayer","RESC1005X37N","590.000","585.000","90","RES 0 OHM JUMPER 1/16W 0402"
"R5","27R","TopLayer","RESC1005X37N","538.000","785.000","0","RES 27 OHM 1% 1/16W 0402"
"R4","27R","TopLayer","RESC1005X37N","538.000","735.000","0","RES 27 OHM 1% 1/16W 0402"
"R1","0R","TopLayer","RESC1005X37N","693.008","499.000","0","RES 0 OHM JUMPER 1/16W 0402"
